card_title,card_reviews,card_link,card_image,card_status,card_limit,card_score,card_annual_income,card_applied_from,card_bureau,card_age,card_notes,card_author_name,card_meta_date,card_dislike,card_like
Divvy Business,564,https://helpmebuildcredit.com/creditcard/divvy-business-credit-cardthere-is-no-welcome-offer-on-this-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/12/divvy-business-2.png,publish,"$2,000",770,N/A,Florida,None,2-5 years,NaN,User_3boufv7c,"Jun 13, 2023",0,0
Blue Cash Everyday,552,https://helpmebuildcredit.com/creditcard/amex-blue-cash/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-blue-cash-everyday-1.png,publish,"$8,000",750,N/A,Illinois,"Experian, TransUnion",2-5 years,NaN,User_35rmsw6h,"Jun 13, 2023",0,1
Divvy Business,593,https://helpmebuildcredit.com/creditcard/divvy-business-credit-cardthere-is-no-welcome-offer-on-this-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/12/divvy-business-2.png,publish,"$53,000",730,N/A,New York,N/A,10 years plus,N/A,User_dl02mnq6,"Jun 12, 2023",0,1
Hilton Honors,496,https://helpmebuildcredit.com/creditcard/hilton-honors-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/06/hilton-honors-card.png,publish,"$2,200",750,N/A,New York,"Experian, TransUnion",6-12 months,NaN,User_18ur39ow,"Jun 12, 2023",0,2
United Explorer,495,https://helpmebuildcredit.com/creditcard/united-explorer/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/united-exporer-1.png,publish,"$5,000",715,N/A,Maryland,Experian,1-2 years,NaN,User_n1kga74h,"Jun 12, 2023",0,2
Blue Cash Preferred,701,https://helpmebuildcredit.com/creditcard/amex-blue-cash-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-blue-cash-prefferd-1.png,publish,"$21,000",787,N/A,Nevada,"Experian, Equifax",5-10 years,Pulled EX and EQ base FICO 8 after accepting soft-approval on AMEX website ,User_b2j15684,"Jun 11, 2023",0,3
X1 Visa Card,644,https://helpmebuildcredit.com/creditcard/x1-visa-card/,https://helpmebuildcredit.com/wp-content/uploads/2022/11/x1-card.png,publish,"$5,000",750,N/A,N/A,N/A,N/A,NaN,User_9t018y4p,"Jun 11, 2023",0,3
PayPal Cashback,855,https://helpmebuildcredit.com/creditcard/paypal-cash-mastercard/,https://helpmebuildcredit.com/wp-content/uploads/2020/04/paypal-cashback-2.png,publish,"$20,000",800,N/A,N/A,N/A,N/A,NaN,User_tm72rkbj,"Jun 09, 2023",0,4
Citi Custom Cash,867,https://helpmebuildcredit.com/creditcard/citi-customsm-cash-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/06/citi-custom-cash.png,publish,"$8,000",779,N/A,Delaware,Equifax,2-5 years,NaN,User_mw0sklv9,"Jun 09, 2023",0,3
Amex Hilton Surpass,959,https://helpmebuildcredit.com/creditcard/amex-hilton-surpass-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/hilton-card-300x191-1.png,decline,N/A,770,N/A,New York,None,0-6 months,NaN,User_frdv7lya,"Jun 08, 2023",1,3
