card_title,card_reviews,card_link,card_image,card_status,card_limit,card_score,card_annual_income,card_applied_from,card_bureau,card_age,card_notes,card_author_name,card_meta_date,card_dislike,card_like 
Amex Everyday,1224,https://helpmebuildcredit.com/creditcard/amex-everyday/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-everyday.png,publish,"$8,000",779,N/A,Colorado,None,5-10 years,"Second amex card. They did a soft pull as they already keep track of credit score. Higher credit limit due to no miss payments on other card. Score only hit 779 because they gave me the first card six months ago. Great credit card company. Be patient and try to get one, you won't be disappointed.",User_3nes7dp8,"May 23, 2023",0,10
Chase Sapphire Preferred,1604,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$15,200",778,N/A,New York,Experian,2-5 years,NaN,User_q23s9u4b,"May 22, 2023",0,2
Hilton Honors Business,681,https://helpmebuildcredit.com/creditcard/hilton-honors-amex-business-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/hilton-card-2.png,publish,"$3,000",725,N/A,New York,N/A,2-5 years,NaN,User_l18b2ri5,"May 29, 2023",0,2
U.S. Bank Business Platinum,781,https://helpmebuildcredit.com/creditcard/us-bank-business-platinum/,https://helpmebuildcredit.com/wp-content/uploads/2020/04/platinum-business-us-bank-1.png,publish,"$12,000",800,N/A,New Jersey,N/A,10 years plus,"based on mine and my wife's application and credit limit approved, it seems they give larger numbers to LLC's as opposed to SP's, as credit rates and other numbers were fairly similar.",User_r2oj47m6,"May 28, 2023",0,2
U.S. Bank Business Platinum,780,https://helpmebuildcredit.com/creditcard/us-bank-business-platinum/,https://helpmebuildcredit.com/wp-content/uploads/2020/04/platinum-business-us-bank-1.png,publish,"$3,000",800,N/A,New Jersey,N/A,10 years plus,"based on mine and my wife's application and credit limit approved, it seems they give larger numbers to LLC's as opposed to SP's, as credit rates and other numbers were fairly similar.",User_r2oj47m6,"May 28, 2023",0,1
Choice Privileges Select,980,https://helpmebuildcredit.com/creditcard/choice-privileges-select-mastercard/,https://helpmebuildcredit.com/wp-content/uploads/2023/05/Choice-Privileges®-select-Mastercard®.png,publish,"$10,000",300,N/A,Arizona,Experian,1-2 years,NaN,User_u185z730,"May 28, 2023",0,1
Emirates Skywards Premium,934,https://helpmebuildcredit.com/creditcard/emirates-skywards-premium-world-elite-mastercard/,https://helpmebuildcredit.com/wp-content/uploads/2020/09/Emirates-Skywards.png,publish,"$1,000",400,N/A,California,Experian,2-5 years,NaN,User_a3vkusg1,"May 28, 2023",1,0
Amex Platinum Business,892,https://helpmebuildcredit.com/creditcard/amex-platinum-business/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-platinum-business-1.png,publish,N/A,724,N/A,California,Experian,10 years plus,"Utilization: 10%, clean report, 5 inq, AAoA: 6",User_3ltigh5u,"May 28, 2023",0,1
Citi Custom Cash,847,https://helpmebuildcredit.com/creditcard/citi-customsm-cash-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/06/citi-custom-cash.png,publish,"$9,300",738,N/A,Maryland,Equifax,2-5 years,NaN,User_s1mhq7cf,"May 28, 2023",0,1
Chase Sapphire Preferred,745,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$5,000",717,N/A,N/A,Experian,6-12 months,NaN,User_gzdqp297,"May 28, 2023",0,1
Apple Card,768,https://helpmebuildcredit.com/creditcard/apple-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/07/apple-card-2.png,publish,"$5,000",723,N/A,Indiana,TransUnion,6-12 months,NaN,User_9xeisnla,"May 28, 2023",0,2
Chase Sapphire Preferred,1225,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$19,000",761,N/A,New York,Experian,2-5 years,NaN,User_r9iluyq0,"May 24, 2023",0,3
Ink Business Unlimited,1178,https://helpmebuildcredit.com/creditcard/chase-ink-business-unlimited/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/8100b780-26ef-4eda-862f-cfbf7bed342c.png,publish,"$3,000",700,N/A,New York,Experian,6-12 months,"Had to provide my signature, they approved me 2 weeks after applying",User_iw1az4ry,"May 24, 2023",0,1
U.S. Bank Business Triple Cash,1205,https://helpmebuildcredit.com/creditcard/u-s-bank-triple-cash-rewards-visa-business-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/08/triple-cash-rewards-business-1.png,publish,"$7,000",800,N/A,New York,TransUnion,10 years plus,It's a very tough approval process. I needed to ask for reconsideration and spoke with underwriting.  ,User_gdknfsc4,"May 24, 2023",0,1
Alaska Airline Business,1010,https://helpmebuildcredit.com/creditcard/alaska-airline-business/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/alaska-airline-business.png,publish,"$8,000",800,N/A,New York,N/A,5-10 years,Third Alaska business card approved!,User_vkehnx4y,"May 24, 2023",0,1
Amex Everyday,1225,https://helpmebuildcredit.com/creditcard/amex-everyday/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-everyday.png,publish,"$8,000",779,N/A,Colorado,None,5-10 years,"Second amex card. They did a soft pull as they already keep track of credit score. Higher credit limit due to no miss payments on other card. Score only hit 779 because they gave me the first card six months ago. Great credit card company. Be patient and try to get one, you won't be disappointed.",User_3nes7dp8,"May 23, 2023",0,10
Chase Sapphire Preferred,1605,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$15,200",778,N/A,New York,Experian,2-5 years,NaN,User_q23s9u4b,"May 22, 2023",0,2
Blue Cash Preferred,1597,https://helpmebuildcredit.com/creditcard/amex-blue-cash-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-blue-cash-prefferd-1.png,publish,"$1,000",735,N/A,Georgia,Experian,0-6 months,NaN,User_ey516nqs,"May 21, 2023",0,2
Chase Sapphire Preferred,1726,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$10,200",710,N/A,New York,Experian,10 years plus,NaN,User_u0wqbtj3,"May 21, 2023",0,2
United Gateway,1657,https://helpmebuildcredit.com/creditcard/united-gateway-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/10/united-gateway-dual-card.png,decline,N/A,748,N/A,New York,Experian,1-2 years,"I applied for a sapphire preferred and was approved, same day I applied for this one and got denied. Reason given was “to many requests for credit, or open accounts with us” I have total 3 inquiries, with the last one being a year old, and I have 2 chase cards including the sapphire” thank you HMBC for everything! ",User_6sdigr3v,"May 20, 2023",0,1
Amex Platinum Business,1565,https://helpmebuildcredit.com/creditcard/amex-platinum-business/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-platinum-business-1.png,publish,N/A,683,N/A,California,None,10 years plus,"Third AMEX business card, sixth overall. Also have their savings account and business checking account. No hard pull, but did request bank account information. ",User_9rnutels,"May 20, 2023",0,1
Customized Cash Rewards,1730,https://helpmebuildcredit.com/creditcard/bank-of-america-cash-rewards/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/bank-of-america-cash-rewards.png,publish,"$19,500",773,N/A,Illinois,Experian,2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,1
Blue Cash Preferred,1679,https://helpmebuildcredit.com/creditcard/amex-blue-cash-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-blue-cash-prefferd-1.png,publish,"$20,000",773,N/A,Illinois,"Experian, TransUnion",2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,1
Freedom Flex,1684,https://helpmebuildcredit.com/creditcard/chase-freedom-flex/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/freedom-flex.png,publish,"$2,800",773,N/A,Illinois,"Experian, TransUnion",2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,1
GM Business,1785,https://helpmebuildcredit.com/creditcard/gm-business-card/,https://helpmebuildcredit.com/wp-content/uploads/2022/03/gm-business-1.png,publish,"$40,000",740,N/A,New York,N/A,10 years plus,NaN,User_xt4b1svi,"May 19, 2023",0,1
SavorOne Cash Rewards,1646,https://helpmebuildcredit.com/creditcard/capital-one-savorone-rewards-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/06/savor-one-cash.png,publish,"$3,000",773,N/A,Illinois,"Experian, Equifax, TransUnion",2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,2
Chase Sapphire Preferred,1515,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$17,300",748,N/A,New York,Experian,1-2 years,"Thank you HMPC, non stop free advice, and the best credit card search engine by far! ",User_702n9ywm,"May 19, 2023",0,1
Capital One Venture X,1415,https://helpmebuildcredit.com/creditcard/capital-one-venture-x-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/11/capital-one-venture-x.png,publish,"$10,000",780,N/A,New York,"Experian, Equifax, TransUnion",2-5 years,NaN,User_895rehof,"May 18, 2023",0,2
NaN,1307,#,h,publish,"$3,000",702,N/A,New York,Experian,6-12 months,NaN,User_iw1az4ry,"May 18, 2023",0,2
Customized Cash Rewards Secured,1324,https://helpmebuildcredit.com/creditcard/bank-of-america-cash-rewards-secured-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/06/boa-customized-cash-rewards-secured.png,publish,"$6,000",761,N/A,Maryland,Experian,10 years plus,NaN,User_390jipur,"May 18, 2023",0,1
Amex Gold Business,1085,https://helpmebuildcredit.com/creditcard/amex-gold-business/,https://helpmebuildcredit.com/wp-content/uploads/2020/03/amex-gold-bis-1.png,publish,N/A,705,N/A,New York,Experian,0-6 months,NaN,User_qdsjlihw,"May 18, 2023",0,1
Ink Business Premier,1076,https://helpmebuildcredit.com/creditcard/ink-business-premier-credit-card/,https://helpmebuildcredit.com/wp-content/uploads/2022/10/ink-business-premier-1.png,publish,"$30,000",758,N/A,New York,Experian,10 years plus,NaN,User_nmkoutiv,"May 18, 2023",0,1
Blue Cash Preferred,1598,https://helpmebuildcredit.com/creditcard/amex-blue-cash-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-blue-cash-prefferd-1.png,publish,"$1,000",735,N/A,Georgia,Experian,0-6 months,NaN,User_ey516nqs,"May 21, 2023",0,2
Chase Sapphire Preferred,1727,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$10,200",710,N/A,New York,Experian,10 years plus,NaN,User_u0wqbtj3,"May 21, 2023",0,2
United Gateway,1658,https://helpmebuildcredit.com/creditcard/united-gateway-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/10/united-gateway-dual-card.png,decline,N/A,748,N/A,New York,Experian,1-2 years,"I applied for a sapphire preferred and was approved, same day I applied for this one and got denied. Reason given was “to many requests for credit, or open accounts with us” I have total 3 inquiries, with the last one being a year old, and I have 2 chase cards including the sapphire” thank you HMBC for everything! ",User_6sdigr3v,"May 20, 2023",0,1
Amex Platinum Business,1566,https://helpmebuildcredit.com/creditcard/amex-platinum-business/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-platinum-business-1.png,publish,N/A,683,N/A,California,None,10 years plus,"Third AMEX business card, sixth overall. Also have their savings account and business checking account. No hard pull, but did request bank account information. ",User_9rnutels,"May 20, 2023",0,1
Customized Cash Rewards,1731,https://helpmebuildcredit.com/creditcard/bank-of-america-cash-rewards/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/bank-of-america-cash-rewards.png,publish,"$19,500",773,N/A,Illinois,Experian,2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,1
Blue Cash Preferred,1680,https://helpmebuildcredit.com/creditcard/amex-blue-cash-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-blue-cash-prefferd-1.png,publish,"$20,000",773,N/A,Illinois,"Experian, TransUnion",2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,1
Freedom Flex,1685,https://helpmebuildcredit.com/creditcard/chase-freedom-flex/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/freedom-flex.png,publish,"$2,800",773,N/A,Illinois,"Experian, TransUnion",2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,1
GM Business,1786,https://helpmebuildcredit.com/creditcard/gm-business-card/,https://helpmebuildcredit.com/wp-content/uploads/2022/03/gm-business-1.png,publish,"$40,000",740,N/A,New York,N/A,10 years plus,NaN,User_xt4b1svi,"May 19, 2023",0,1
SavorOne Cash Rewards,1647,https://helpmebuildcredit.com/creditcard/capital-one-savorone-rewards-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/06/savor-one-cash.png,publish,"$3,000",773,N/A,Illinois,"Experian, Equifax, TransUnion",2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,2
Chase Sapphire Preferred,1516,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$17,300",748,N/A,New York,Experian,1-2 years,"Thank you HMPC, non stop free advice, and the best credit card search engine by far! ",User_702n9ywm,"May 19, 2023",0,1
Capital One Venture X,1416,https://helpmebuildcredit.com/creditcard/capital-one-venture-x-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/11/capital-one-venture-x.png,publish,"$10,000",780,N/A,New York,"Experian, Equifax, TransUnion",2-5 years,NaN,User_895rehof,"May 18, 2023",0,2
NaN,1308,#,h,publish,"$3,000",702,N/A,New York,Experian,6-12 months,NaN,User_iw1az4ry,"May 18, 2023",0,2
Customized Cash Rewards Secured,1325,https://helpmebuildcredit.com/creditcard/bank-of-america-cash-rewards-secured-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/06/boa-customized-cash-rewards-secured.png,publish,"$6,000",761,N/A,Maryland,Experian,10 years plus,NaN,User_390jipur,"May 18, 2023",0,1
Amex Gold Business,1086,https://helpmebuildcredit.com/creditcard/amex-gold-business/,https://helpmebuildcredit.com/wp-content/uploads/2020/03/amex-gold-bis-1.png,publish,N/A,705,N/A,New York,Experian,0-6 months,NaN,User_qdsjlihw,"May 18, 2023",0,1
Ink Business Premier,1077,https://helpmebuildcredit.com/creditcard/ink-business-premier-credit-card/,https://helpmebuildcredit.com/wp-content/uploads/2022/10/ink-business-premier-1.png,publish,"$30,000",758,N/A,New York,Experian,10 years plus,NaN,User_nmkoutiv,"May 18, 2023",0,1
Blue Cash Preferred,1599,https://helpmebuildcredit.com/creditcard/amex-blue-cash-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-blue-cash-prefferd-1.png,publish,"$1,000",735,N/A,Georgia,Experian,0-6 months,NaN,User_ey516nqs,"May 21, 2023",0,2
Chase Sapphire Preferred,1728,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$10,200",710,N/A,New York,Experian,10 years plus,NaN,User_u0wqbtj3,"May 21, 2023",0,2
United Gateway,1659,https://helpmebuildcredit.com/creditcard/united-gateway-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/10/united-gateway-dual-card.png,decline,N/A,748,N/A,New York,Experian,1-2 years,"I applied for a sapphire preferred and was approved, same day I applied for this one and got denied. Reason given was “to many requests for credit, or open accounts with us” I have total 3 inquiries, with the last one being a year old, and I have 2 chase cards including the sapphire” thank you HMBC for everything! ",User_6sdigr3v,"May 20, 2023",0,1
Amex Platinum Business,1567,https://helpmebuildcredit.com/creditcard/amex-platinum-business/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-platinum-business-1.png,publish,N/A,683,N/A,California,None,10 years plus,"Third AMEX business card, sixth overall. Also have their savings account and business checking account. No hard pull, but did request bank account information. ",User_9rnutels,"May 20, 2023",0,1
Customized Cash Rewards,1732,https://helpmebuildcredit.com/creditcard/bank-of-america-cash-rewards/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/bank-of-america-cash-rewards.png,publish,"$19,500",773,N/A,Illinois,Experian,2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,1
Blue Cash Preferred,1681,https://helpmebuildcredit.com/creditcard/amex-blue-cash-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-blue-cash-prefferd-1.png,publish,"$20,000",773,N/A,Illinois,"Experian, TransUnion",2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,1
Freedom Flex,1686,https://helpmebuildcredit.com/creditcard/chase-freedom-flex/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/freedom-flex.png,publish,"$2,800",773,N/A,Illinois,"Experian, TransUnion",2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,1
GM Business,1787,https://helpmebuildcredit.com/creditcard/gm-business-card/,https://helpmebuildcredit.com/wp-content/uploads/2022/03/gm-business-1.png,publish,"$40,000",740,N/A,New York,N/A,10 years plus,NaN,User_xt4b1svi,"May 19, 2023",0,1
SavorOne Cash Rewards,1648,https://helpmebuildcredit.com/creditcard/capital-one-savorone-rewards-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/06/savor-one-cash.png,publish,"$3,000",773,N/A,Illinois,"Experian, Equifax, TransUnion",2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,2
Chase Sapphire Preferred,1517,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$17,300",748,N/A,New York,Experian,1-2 years,"Thank you HMPC, non stop free advice, and the best credit card search engine by far! ",User_702n9ywm,"May 19, 2023",0,1
Capital One Venture X,1417,https://helpmebuildcredit.com/creditcard/capital-one-venture-x-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/11/capital-one-venture-x.png,publish,"$10,000",780,N/A,New York,"Experian, Equifax, TransUnion",2-5 years,NaN,User_895rehof,"May 18, 2023",0,2
NaN,1309,#,h,publish,"$3,000",702,N/A,New York,Experian,6-12 months,NaN,User_iw1az4ry,"May 18, 2023",0,2
Customized Cash Rewards Secured,1326,https://helpmebuildcredit.com/creditcard/bank-of-america-cash-rewards-secured-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/06/boa-customized-cash-rewards-secured.png,publish,"$6,000",761,N/A,Maryland,Experian,10 years plus,NaN,User_390jipur,"May 18, 2023",0,1
Amex Gold Business,1087,https://helpmebuildcredit.com/creditcard/amex-gold-business/,https://helpmebuildcredit.com/wp-content/uploads/2020/03/amex-gold-bis-1.png,publish,N/A,705,N/A,New York,Experian,0-6 months,NaN,User_qdsjlihw,"May 18, 2023",0,1
Ink Business Premier,1078,https://helpmebuildcredit.com/creditcard/ink-business-premier-credit-card/,https://helpmebuildcredit.com/wp-content/uploads/2022/10/ink-business-premier-1.png,publish,"$30,000",758,N/A,New York,Experian,10 years plus,NaN,User_nmkoutiv,"May 18, 2023",0,1
Blue Cash Preferred,1600,https://helpmebuildcredit.com/creditcard/amex-blue-cash-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-blue-cash-prefferd-1.png,publish,"$1,000",735,N/A,Georgia,Experian,0-6 months,NaN,User_ey516nqs,"May 21, 2023",0,2
Chase Sapphire Preferred,1729,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$10,200",710,N/A,New York,Experian,10 years plus,NaN,User_u0wqbtj3,"May 21, 2023",0,2
United Gateway,1660,https://helpmebuildcredit.com/creditcard/united-gateway-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/10/united-gateway-dual-card.png,decline,N/A,748,N/A,New York,Experian,1-2 years,"I applied for a sapphire preferred and was approved, same day I applied for this one and got denied. Reason given was “to many requests for credit, or open accounts with us” I have total 3 inquiries, with the last one being a year old, and I have 2 chase cards including the sapphire” thank you HMBC for everything! ",User_6sdigr3v,"May 20, 2023",0,1
Amex Platinum Business,1568,https://helpmebuildcredit.com/creditcard/amex-platinum-business/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-platinum-business-1.png,publish,N/A,683,N/A,California,None,10 years plus,"Third AMEX business card, sixth overall. Also have their savings account and business checking account. No hard pull, but did request bank account information. ",User_9rnutels,"May 20, 2023",0,1
Customized Cash Rewards,1733,https://helpmebuildcredit.com/creditcard/bank-of-america-cash-rewards/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/bank-of-america-cash-rewards.png,publish,"$19,500",773,N/A,Illinois,Experian,2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,1
Blue Cash Preferred,1682,https://helpmebuildcredit.com/creditcard/amex-blue-cash-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-blue-cash-prefferd-1.png,publish,"$20,000",773,N/A,Illinois,"Experian, TransUnion",2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,1
Freedom Flex,1687,https://helpmebuildcredit.com/creditcard/chase-freedom-flex/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/freedom-flex.png,publish,"$2,800",773,N/A,Illinois,"Experian, TransUnion",2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,1
GM Business,1788,https://helpmebuildcredit.com/creditcard/gm-business-card/,https://helpmebuildcredit.com/wp-content/uploads/2022/03/gm-business-1.png,publish,"$40,000",740,N/A,New York,N/A,10 years plus,NaN,User_xt4b1svi,"May 19, 2023",0,1
SavorOne Cash Rewards,1649,https://helpmebuildcredit.com/creditcard/capital-one-savorone-rewards-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/06/savor-one-cash.png,publish,"$3,000",773,N/A,Illinois,"Experian, Equifax, TransUnion",2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,2
Chase Sapphire Preferred,1518,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$17,300",748,N/A,New York,Experian,1-2 years,"Thank you HMPC, non stop free advice, and the best credit card search engine by far! ",User_702n9ywm,"May 19, 2023",0,1
Capital One Venture X,1418,https://helpmebuildcredit.com/creditcard/capital-one-venture-x-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/11/capital-one-venture-x.png,publish,"$10,000",780,N/A,New York,"Experian, Equifax, TransUnion",2-5 years,NaN,User_895rehof,"May 18, 2023",0,2
NaN,1310,#,h,publish,"$3,000",702,N/A,New York,Experian,6-12 months,NaN,User_iw1az4ry,"May 18, 2023",0,2
Customized Cash Rewards Secured,1327,https://helpmebuildcredit.com/creditcard/bank-of-america-cash-rewards-secured-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/06/boa-customized-cash-rewards-secured.png,publish,"$6,000",761,N/A,Maryland,Experian,10 years plus,NaN,User_390jipur,"May 18, 2023",0,1
Amex Gold Business,1088,https://helpmebuildcredit.com/creditcard/amex-gold-business/,https://helpmebuildcredit.com/wp-content/uploads/2020/03/amex-gold-bis-1.png,publish,N/A,705,N/A,New York,Experian,0-6 months,NaN,User_qdsjlihw,"May 18, 2023",0,1
Ink Business Premier,1079,https://helpmebuildcredit.com/creditcard/ink-business-premier-credit-card/,https://helpmebuildcredit.com/wp-content/uploads/2022/10/ink-business-premier-1.png,publish,"$30,000",758,N/A,New York,Experian,10 years plus,NaN,User_nmkoutiv,"May 18, 2023",0,1
Blue Cash Preferred,1601,https://helpmebuildcredit.com/creditcard/amex-blue-cash-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-blue-cash-prefferd-1.png,publish,"$1,000",735,N/A,Georgia,Experian,0-6 months,NaN,User_ey516nqs,"May 21, 2023",0,2
Chase Sapphire Preferred,1730,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$10,200",710,N/A,New York,Experian,10 years plus,NaN,User_u0wqbtj3,"May 21, 2023",0,2
United Gateway,1661,https://helpmebuildcredit.com/creditcard/united-gateway-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/10/united-gateway-dual-card.png,decline,N/A,748,N/A,New York,Experian,1-2 years,"I applied for a sapphire preferred and was approved, same day I applied for this one and got denied. Reason given was “to many requests for credit, or open accounts with us” I have total 3 inquiries, with the last one being a year old, and I have 2 chase cards including the sapphire” thank you HMBC for everything! ",User_6sdigr3v,"May 20, 2023",0,1
Amex Platinum Business,1569,https://helpmebuildcredit.com/creditcard/amex-platinum-business/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-platinum-business-1.png,publish,N/A,683,N/A,California,None,10 years plus,"Third AMEX business card, sixth overall. Also have their savings account and business checking account. No hard pull, but did request bank account information. ",User_9rnutels,"May 20, 2023",0,1
Customized Cash Rewards,1734,https://helpmebuildcredit.com/creditcard/bank-of-america-cash-rewards/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/bank-of-america-cash-rewards.png,publish,"$19,500",773,N/A,Illinois,Experian,2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,1
Blue Cash Preferred,1683,https://helpmebuildcredit.com/creditcard/amex-blue-cash-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/amex-blue-cash-prefferd-1.png,publish,"$20,000",773,N/A,Illinois,"Experian, TransUnion",2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,1
Freedom Flex,1688,https://helpmebuildcredit.com/creditcard/chase-freedom-flex/,https://helpmebuildcredit.com/wp-content/uploads/2020/01/freedom-flex.png,publish,"$2,800",773,N/A,Illinois,"Experian, TransUnion",2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,1
GM Business,1789,https://helpmebuildcredit.com/creditcard/gm-business-card/,https://helpmebuildcredit.com/wp-content/uploads/2022/03/gm-business-1.png,publish,"$40,000",740,N/A,New York,N/A,10 years plus,NaN,User_xt4b1svi,"May 19, 2023",0,1
SavorOne Cash Rewards,1650,https://helpmebuildcredit.com/creditcard/capital-one-savorone-rewards-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/06/savor-one-cash.png,publish,"$3,000",773,N/A,Illinois,"Experian, Equifax, TransUnion",2-5 years,NaN,User_b32l0jeg,"May 19, 2023",0,2
Chase Sapphire Preferred,1519,https://helpmebuildcredit.com/creditcard/chase-sapphire-preferred/,https://helpmebuildcredit.com/wp-content/uploads/2019/12/sapphire-preferred.png,publish,"$17,300",748,N/A,New York,Experian,1-2 years,"Thank you HMPC, non stop free advice, and the best credit card search engine by far! ",User_702n9ywm,"May 19, 2023",0,1
Capital One Venture X,1419,https://helpmebuildcredit.com/creditcard/capital-one-venture-x-card/,https://helpmebuildcredit.com/wp-content/uploads/2021/11/capital-one-venture-x.png,publish,"$10,000",780,N/A,New York,"Experian, Equifax, TransUnion",2-5 years,NaN,User_895rehof,"May 18, 2023",0,2
NaN,1311,#,h,publish,"$3,000",702,N/A,New York,Experian,6-12 months,NaN,User_iw1az4ry,"May 18, 2023",0,2
Customized Cash Rewards Secured,1328,https://helpmebuildcredit.com/creditcard/bank-of-america-cash-rewards-secured-card/,https://helpmebuildcredit.com/wp-content/uploads/2020/06/boa-customized-cash-rewards-secured.png,publish,"$6,000",761,N/A,Maryland,Experian,10 years plus,NaN,User_390jipur,"May 18, 2023",0,1
Amex Gold Business,1089,https://helpmebuildcredit.com/creditcard/amex-gold-business/,https://helpmebuildcredit.com/wp-content/uploads/2020/03/amex-gold-bis-1.png,publish,N/A,705,N/A,New York,Experian,0-6 months,NaN,User_qdsjlihw,"May 18, 2023",0,1
